Date,Age,Account,MovementType,Amount,BalanceAfter,Remarks
2025-05-01,100000000,50,OA,Contribution,1702.21,169594.32,"Monthly allocation"
2025-05-01,100000001,50,SA,Contribution,443.83,253607.18,"Monthly allocation"
2025-05-01,100000002,50,MA,Contribution,591.96,73544.33,"Monthly allocation"
2025-05-01,100000003,50,Loan,Payment,1687.39,249413.61,"Monthly loan payment"
2025-06-01,100000004,50,OA,Contribution,1702.21,171296.54,"Monthly allocation"
2025-06-01,100000005,50,SA,Contribution,443.83,254051.01,"Monthly allocation"
2025-06-01,100000006,50,MA,Contribution,591.96,74136.28,"Monthly allocation"
2025-06-01,100000007,50,Loan,Payment,1687.39,247726.22,"Monthly loan payment"
2025-07-01,100000008,51,OA,Contribution,1702.21,172998.75,"Monthly allocation"
2025-07-01,100000009,51,SA,Contribution,443.83,254494.84,"Monthly allocation"
2025-07-01,100000010,51,MA,Contribution,591.96,74728.24,"Monthly allocation"
2025-07-01,100000011,51,Loan,Payment,1687.39,246038.83,"Monthly loan payment"
2025-08-01,100000012,51,OA,Contribution,1702.21,174700.97,"Monthly allocation"
2025-08-01,100000013,51,SA,Contribution,443.83,254938.67,"Monthly allocation"
2025-08-01,100000014,51,MA,Contribution,591.96,75320.19,"Monthly allocation"
2025-08-01,100000015,51,Loan,Payment,1687.39,244351.44,"Monthly loan payment"
2025-09-01,100000016,51,OA,Contribution,1702.21,176403.18,"Monthly allocation"
2025-09-01,100000017,51,SA,Contribution,443.83,255382.50,"Monthly allocation"
2025-09-01,100000018,51,MA,Contribution,591.96,75912.15,"Monthly allocation"
2025-09-01,100000019,51,Loan,Payment,1687.39,242664.05,"Monthly loan payment"
2025-10-01,100000020,51,OA,Contribution,1702.21,178105.40,"Monthly allocation"
2025-10-01,100000021,51,SA,Contribution,443.83,255826.33,"Monthly allocation"
2025-10-01,100000022,51,MA,Contribution,591.96,76504.10,"Monthly allocation"
2025-10-01,100000023,51,Loan,Payment,1687.39,240976.66,"Monthly loan payment"
2025-11-01,100000024,51,OA,Contribution,1702.21,179807.61,"Monthly allocation"
2025-11-01,100000025,51,SA,Contribution,443.83,256270.16,"Monthly allocation"
2025-11-01,100000026,51,MA,Contribution,591.96,77096.06,"Monthly allocation"
2025-11-01,100000027,51,Loan,Payment,1687.39,239289.27,"Monthly loan payment"
2025-12-01,100000028,51,OA,Contribution,1702.21,181509.83,"Monthly allocation"
2025-12-01,100000029,51,SA,Contribution,443.83,256713.99,"Monthly allocation"
2025-12-01,100000030,51,MA,Contribution,591.96,77688.01,"Monthly allocation"
2025-12-01,100000031,51,OA,Interest,4537.75,186047.57,"Annual base interest"
2025-12-01,100000032,51,SA,Interest,10268.56,266982.55,"Annual base interest"
2025-12-01,100000033,51,SA,Extra Interest,600.00,267582.55,"Annual extra interest"
2025-12-01,100000034,51,MA,Interest,3107.52,80795.54,"Annual base interest"
